nombre,valor
PCB SENSOR DE LLAVE GOLD CLUB (LAB5155),0
PCB PWR DIST CNTRL IGT AVP (LAB0779),0
PCB INTERFAZ UBA KONAMI,0
PCB I/O COMM INTERBLOCK ORGAN (LAB5025),0
PCB I/O ARISTOCRAT DRIVER (LAB0759),0
PCB DISTR BOARD TRIMLINE IGT (LAB0748),400000
PCB DISPLAY 9LINEAS IGT S2000 (LAB0745),174762
PCB DISPLAY 7SEG IGT S2000 (LAB0744),0
PCB CONTR TOUCH 3M SG TWIN/J43 (LAB3549),10710
PCB CONTR TECLADO IGT CRYSTAL (LAB3699),0
PCB CONTR REEL WMS (LAB0726),0
PCB CONTR MATRIX IGT S2000 (LAB0723),144556
PCB CONTR BUTTON PANEL ARISTO (LAB4790),0
PCB CONTR 9LINEAS IGT S2000 (LAB0714),0
PCB COMM 68K ATRONIC (LAB0703),0
PCB BILL TICKET G3/G4 ASSY LOA (LAB5013),0
PCB BEZEL LED BALLY SG (LAB4200),217000
PCB BACKPLANE SG TWINSTAR ST (LAB4165),236987
PCB BACKPLANE RULETA ELECTROCH (LAB5253),0
PCB BACKPLANE NOVOMATIC (LAB0700),0
PCB BACKPLANE KOMAMI PODIUM (LAB2237),225698.74
PCB BACKPLANE IGT TRIMLINE (LAB0698),0
PCB BACKPLANE IGT AVP G23 V2 (LABXXXX),69000
PCB BACKPLANE BALLY M9000 (LAB0694),0
PCB BACKPLANE ARITOCRAT GEN7 (LAB2250),716040
PCB BACKPLANE ARISTOCRAT GEN8 (LAB4302),0
PCB BACKLIGHT INTERBLOCK ORGAN (LAB5076),0
PANEL TECLADO IDECK IGT AXXIS (LAB3991),431568
PANEL TECLAD IDECK SG TWIN/J43 (LAB3981),0
PANEL IDECK SG TWISNTAR SLAT T (LAB4162),715000
PANEL IDECK NOVOMATIC PANTERA  (LAB5284),0
PANEL BALLY IDECK ASSYS AS-1 (LAB2533),0
OTROS,0
MONITOR TV 42' LCD (LAB0654),0
MONITOR LCD 17' SAMSUNG (LAB0646),0
"MONITOR 48"" RULET ALFASTREET  (LAB5828)",856321
MONITOR 43' CURVO SG J43 (LAB3933),0
MONITOR 40' CURVO BALLY V27/27 (LAB4301),0
MONITOR 32' BALLY QH PLATINUM (LAB0639),0
MONITOR 27' SUP KONAMI CONCERT (LAB4263),0
MONITOR 24' SG TWINSTAR PPAL (LAB3934),1950000
MONITOR 23' TOP SG DUALOS (LAB3932),0
MONITOR 23' PPAL AINSW. A600 (LAB3914),1290356
MONITOR 23' IGT AXXIS (LAB3993),0
MONITOR 21.5 PC PHILIPS FHD (LAB5183),0
MONITOR 21.5 LCD C/DVI (LAB5268),0
MONITOR 19' ELO EGT (LAB0591),187569
MONITOR 15' ELECTRO CHANCE (LAB0586),0
MONITOR 15 PC (LAB4408),0
"MONITOR 12"" SEGURIDAD/MANTENIMIENTO (LABXXXX)",69000
MKS NANO-ROBIN +TFT3.2 (LAB4774),0
MEI CASHBOX STACKER. (LAB1041),0
LAB5504,0
LAB5280,0
FUENTE SWITCHING P265 ELECTRO (LAB0437),1
FUENTE SWITCHING IGT 440W (LAB2183),0
FUENTE SWITCHING 12V A 20A (LAB2182),0
FUENTE SWITCHING 12/10A (LAB5860),0
FUENTE IMPRESORA 3D,0
FUENTE BIKER RUL R8/FLX/LUCKY (LAB2551),653254
FUENTE 600W THERMALTAKE TR2 (LAB5078),0
FUENTE 5/12V COMUNICACION (LAB2352),0
FUENTE 400W ARISTO VIR 19/WS (LAB0407),698234
FUENTE 24V 5.6 A (LAB3540),0
FUENTE 220W IMPU BALLY ALPHA (LAB0399),0
FUENTE 220W CPU SG / BALLY AP (LAB2546),0
FUENTE 12V 2.5A ATRONIC (LAB2038),10000
FUENTE,0
ESQUELETO JCM IVIZION B/A (LAB4278),100000
ESQUELETO B/A JCM UBA 10 (LAB0369),100000
CPU SG TWINSTAR SLANT TOP (LAB4161),1535893
CPU ARISTOCRAT MK6 (LAB0305),1535893
CPU ALFASTREET RULETA FELIX (LAB2547),2365897
CPU AINSWORTH A560H /ST (LAB3844),3185000
